Employee_ID,Name,Age,Gender,Department,Job_Role,Salary,Experience_Years,Joining_Date,Performance_Score,City,Employment_Status
EMP1630,Employee_630,41,Male,HR,Accountant,57088.0,16.0,2017-04-29,6,Bangalore,Active
EMP1789,Employee_789,40,Female,Sales,Sales Executive,49417.0,8.0,2017-02-09,7,Bangalore,Active
EMP1685,Employee_685,31,Female,IT,Manager,107736.0,10.0,2019-06-23,5,Mumbai,Resigned
EMP1517,Employee_517,55,Male,Operations,Developer,117268.0,8.0,2015-01-29,6,Bangalore,Active
EMP1530,Employee_530,29,Female,Marketing,Accountant,49618.0,18.0,2020-12-09,10,Coimbatore,Resigned
EMP1658,Employee_658,29,Male,Sales,Developer,37360.0,5.0,2021-03-30,5,Chennai,Active
EMP1553,Employee_553,39,Female,Sales,Sales Executive,83002.0,20.0,2015-08-14,4,Bangalore,Active
EMP1532,Employee_532,22,Female,IT,Developer,43919.0,4.0,2015-06-24,10,Coimbatore,Active
EMP1322,Employee_322,37,Male,Marketing,Accountant,45313.0,7.0,2020-02-16,7,Hyderabad,Active
EMP1071,Employee_71,36,Female,IT,Developer,79336.0,13.0,2024-12-08,2,Coimbatore,Active
EMP1838,Employee_838,31,Female,Marketing,Developer,27591.0,16.0,2025-11-08,4,Chennai,Resigned
EMP1454,Employee_454,49,Male,Finance,Manager,30141.0,10.0,2019-11-07,1,Coimbatore,Active
EMP1997,Employee_997,48,Male,IT,Sales Executive,58402.0,0.0,2025-01-11,2,Chennai,Active
EMP1669,Employee_669,59,Male,Operations,Accountant,-10000.0,18.0,2020-10-24,8,Pune,Active
EMP1248,Employee_248,58,Male,Marketing,Accountant,88064.0,20.0,2019-07-11,1,Bangalore,Active
EMP1614,Employee_614,49,Female,Operations,Developer,119776.0,7.0,2020-07-24,4,Mumbai,Resigned
EMP1845,Employee_845,39,Male,Finance,Manager,109774.0,14.0,2022-12-30,5,Pune,Active
EMP1705,Employee_705,30,Male,HR,Analyst,85686.0,2.0,2021-04-02,5,Coimbatore,Active
EMP1299,Employee_299,44,Male,Marketing,HR Executive,30722.0,15.0,2023-08-31,7,Pune,Active
EMP1102,Employee_102,44,Male,Marketing,Manager,110179.0,7.0,2017-07-24,6,Chennai,On Leave
EMP1903,Employee_903,39,Female,,Manager,40534.0,3.0,2021-05-03,2,Chennai,Active
EMP1920,Employee_920,53,Female,HR,Accountant,35799.0,,2019-11-17,4,Chennai,Resigned
EMP1214,Employee_214,53,Male,Operations,Accountant,90101.0,10.0,2022-10-24,9,Coimbatore,Active
EMP1238,Employee_238,39,Male,HR,Manager,84234.0,4.0,2024-04-11,2,Mumbai,Resigned
EMP1596,Employee_596,44,Male,Finance,Sales Executive,51049.0,1.0,2018-09-04,7,Hyderabad,Active
EMP1282,Employee_282,54,Male,IT,Accountant,102960.0,3.0,2017-07-09,2,Bangalore,Active
EMP1871,Employee_871,57,Male,Finance,Analyst,86934.0,15.0,2023-12-25,5,Hyderabad,Active
EMP1287,Employee_287,53,Male,Sales,Manager,94119.0,17.0,2023-11-10,10,Bangalore,Resigned
EMP1923,Employee_923,53,Female,Sales,Accountant,95463.0,16.0,2017-03-01,8,Bangalore,Resigned
EMP1888,Employee_888,55,Male,Finance,HR Executive,46113.0,18.0,2017-07-26,9,Mumbai,On Leave
EMP1465,Employee_465,41,Male,Finance,Sales Executive,72135.0,4.0,2016-12-22,7,Coimbatore,Resigned
EMP1797,Employee_797,54,Male,HR,Sales Executive,66094.0,10.0,2020-06-06,2,Pune,Active
EMP1097,Employee_97,28,Female,HR,Manager,79131.0,15.0,2016-04-20,9,Hyderabad,Active
EMP1245,Employee_245,31,Female,IT,Analyst,30451.0,13.0,2022-05-23,5,Mumbai,Active
EMP1890,Employee_890,21,Female,HR,Analyst,68939.0,5.0,2024-04-24,7,Coimbatore,On Leave
EMP1077,Employee_77,35,Male,HR,HR Executive,51672.0,20.0,2018-08-26,2,Mumbai,Active
EMP1902,Employee_902,25,Female,HR,Manager,33328.0,4.0,2018-02-14,5,Bangalore,Resigned
EMP1210,Employee_210,39,Male,IT,Sales Executive,69605.0,16.0,2022-06-06,8,Bangalore,On Leave
EMP1260,Employee_260,36,Male,Operations,Manager,500000.0,1.0,2020-12-03,7,Coimbatore,Active
EMP1159,Employee_159,47,Male,Sales,HR Executive,58870.0,4.0,2022-07-19,10,Bangalore,On Leave
EMP1740,Employee_740,26,Female,Finance,Accountant,37625.0,7.0,2025-10-29,5,Coimbatore,Active
EMP1433,Employee_433,32,Male,Operations,Sales Executive,70475.0,14.0,2017-06-23,10,Pune,On Leave
EMP1332,Employee_332,33,Female,Marketing,Analyst,76313.0,18.0,2024-03-31,3,Pune,Active
EMP1957,Employee_957,56,Female,Sales,Sales Executive,50963.0,2.0,2023-01-12,8,Bangalore,Active
EMP1315,Employee_315,52,Male,Operations,Accountant,117764.0,9.0,2016-02-26,7,Bangalore,Active
EMP1295,Employee_295,49,Female,HR,HR Executive,109289.0,7.0,2016-12-20,2,Bangalore,Resigned
EMP1383,Employee_383,60,Male,it,Sales Executive,45954.0,16.0,2017-07-30,2,Mumbai,Active
EMP1389,Employee_389,49,Male,IT,Analyst,105578.0,0.0,2025-03-30,4,Coimbatore,Active
EMP1576,Employee_576,56,Male,Finance,Developer,78747.0,20.0,2025-09-22,6,Mumbai,Active
EMP1880,Employee_880,50,Male,Sales,Manager,95293.0,3.0,2017-02-26,1,Bangalore,Active
EMP1443,Employee_443,30,Female,Operations,HR Executive,38156.0,0.0,2015-09-28,1,Coimbatore,Active
EMP1722,Employee_722,28,Female,IT,Manager,115480.0,5.0,2017-07-07,6,Coimbatore,Active
EMP1060,Employee_60,54,Female,Sales,Sales Executive,43135.0,18.0,2020-07-07,3,Bangalore,Active
EMP1679,Employee_679,43,Male,Operations,Analyst,80276.0,2.0,2016-11-22,10,Hyderabad,On Leave
EMP1371,Employee_371,48,Female,Sales,Analyst,33275.0,16.0,2018-12-07,10,Chennai,Resigned
EMP1483,Employee_483,43,Female,HR,Developer,27800.0,18.0,2015-05-24,5,Coimbatore,Active
EMP1382,Employee_382,45,Male,HR,Accountant,118688.0,17.0,2015-10-31,5,Hyderabad,On Leave
EMP1055,Employee_55,26,Female,IT,Analyst,52747.0,15.0,2022-06-01,1,Bangalore,Resigned
EMP1024,Employee_24,32,Male,Marketing,Accountant,30842.0,2.0,2021-06-19,6,Pune,Resigned
EMP1031,Employee_31,23,Male,Sales,HR Executive,105742.0,16.0,2018-12-14,7,Chennai,Active
EMP1881,Employee_881,51,Male,Marketing,Sales Executive,103581.0,19.0,2020-10-27,8,Pune,Active
EMP1431,Employee_431,40,Male,Finance,Manager,110029.0,19.0,2015-06-04,10,Pune,Active
EMP1011,Employee_11,44,Female,HR,Analyst,119230.0,8.0,2020-12-12,6,Coimbatore,Active
EMP1657,Employee_657,34,Female,Sales,Manager,28849.0,5.0,2019-10-18,2,Coimbatore,Active
